imdb_id,title,original_title,year,runtime_minutes,genres,average_rating,num_votes,imdb_url
tt0111161,The Shawshank Redemption,The Shawshank Redemption,1994,142,Drama,9.3,3182733,https://www.imdb.com/title/tt0111161
tt0468569,The Dark Knight,The Dark Knight,2008,152,"Action,Crime,Drama",9.1,3161984,https://www.imdb.com/title/tt0468569
tt1375666,Inception,Inception,2010,148,"Action,Adventure,Sci-Fi",8.8,2811692,https://www.imdb.com/title/tt1375666
tt0137523,Fight Club,Fight Club,1999,139,"Crime,Drama,Thriller",8.8,2601984,https://www.imdb.com/title/tt0137523
tt0816692,Interstellar,Interstellar,2014,169,"Adventure,Drama,Sci-Fi",8.7,2521607,https://www.imdb.com/title/tt0816692
tt0109830,Forrest Gump,Forrest Gump,1994,142,"Drama,Romance",8.8,2492584,https://www.imdb.com/title/tt0109830
tt0110912,Pulp Fiction,Pulp Fiction,1994,154,"Crime,Drama",8.8,2431723,https://www.imdb.com/title/tt0110912
tt0133093,The Matrix,The Matrix,1999,136,"Action,Sci-Fi",8.7,2243917,https://www.imdb.com/title/tt0133093
tt0120737,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,2001,178,"Adventure,Drama,Fantasy",8.9,2203274,https://www.imdb.com/title/tt0120737
tt0167260,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,2003,201,"Adventure,Drama,Fantasy",9.0,2161551,https://www.imdb.com/title/tt0167260
tt0114369,Seven,Se7en,1995,127,"Crime,Drama,Mystery",8.6,2017173,https://www.imdb.com/title/tt0114369
tt1345836,The Dark Knight Rises,The Dark Knight Rises,2012,164,"Action,Crime,Drama",8.4,1990793,https://www.imdb.com/title/tt1345836
tt0167261,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Two Towers,2002,179,"Adventure,Drama,Fantasy",8.8,1954133,https://www.imdb.com/title/tt0167261
tt1853728,Django Unchained,Django Unchained,2012,165,"Drama,Western",8.5,1879878,https://www.imdb.com/title/tt1853728
tt0172495,Gladiator,Gladiator,2000,155,"Action,Adventure,Drama",8.5,1846350,https://www.imdb.com/title/tt0172495
tt0993846,The Wolf of Wall Street,The Wolf of Wall Street,2013,180,"Biography,Comedy,Crime",8.2,1783574,https://www.imdb.com/title/tt0993846
tt0361748,Inglourious Basterds,Inglourious Basterds,2009,153,"Adventure,Drama,War",8.4,1780137,https://www.imdb.com/title/tt0361748
tt0102926,The Silence of the Lambs,The Silence of the Lambs,1991,118,"Crime,Drama,Horror",8.6,1720408,https://www.imdb.com/title/tt0102926
tt0372784,Batman Begins,Batman Begins,2005,140,"Action,Crime,Drama",8.2,1710954,https://www.imdb.com/title/tt0372784
tt7286456,Joker,Joker,2019,122,"Crime,Drama,Thriller",8.3,1690212,https://www.imdb.com/title/tt7286456
tt1130884,Shutter Island,Shutter Island,2010,138,"Drama,Mystery,Thriller",8.2,1643391,https://www.imdb.com/title/tt1130884
tt0120815,Saving Private Ryan,Saving Private Ryan,1998,169,"Drama,War",8.6,1636156,https://www.imdb.com/title/tt0120815
tt0482571,The Prestige,The Prestige,2006,130,"Drama,Mystery,Sci-Fi",8.5,1584861,https://www.imdb.com/title/tt0482571
tt0108052,Schindler's List,Schindler's List,1993,195,"Biography,Drama,History",9.0,1583450,https://www.imdb.com/title/tt0108052
tt0120689,The Green Mile,The Green Mile,1999,189,"Crime,Drama,Fantasy",8.6,1559012,https://www.imdb.com/title/tt0120689
tt0848228,The Avengers,The Avengers,2012,143,"Action,Sci-Fi",8.0,1556255,https://www.imdb.com/title/tt0848228
tt0407887,The Departed,The Departed,2006,151,"Crime,Drama,Thriller",8.5,1551988,https://www.imdb.com/title/tt0407887
tt0080684,Star Wars: Episode V - The Empire Strikes Back,Star Wars: Episode V - The Empire Strikes Back,1980,124,"Action,Adventure,Fantasy",8.7,1502466,https://www.imdb.com/title/tt0080684
tt0499549,Avatar,Avatar,2009,162,"Action,Adventure,Fantasy",7.9,1495797,https://www.imdb.com/title/tt0499549
tt0088763,Back to the Future,Back to the Future,1985,116,"Adventure,Comedy,Sci-Fi",8.5,1450845,https://www.imdb.com/title/tt0088763
tt4154796,Avengers: Endgame,Avengers: Endgame,2019,181,"Action,Adventure,Sci-Fi",8.4,1442673,https://www.imdb.com/title/tt4154796
